               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  22,            0.043118,            0.021676,                   0,              7.3771,           0.0023235,                 0.4,           0.0020455,          0.00040309,            0.037724,              0.0196,                   0,              6.3688,           0.0024976,           0.0024976,            0.074998
                  23,            0.051927,            0.021391,                   0,              8.9924,           0.0023235,                 0.4,           0.0020455,          0.00040309,            0.037724,              0.0196,                   0,              6.3688,           0.0025831,           0.0025831,            0.073883
                  24,             0.03684,            0.020715,                   0,              6.8536,            0.010457,                 0.2,           0.0026821,          0.00048935,             0.04117,             0.01877,                   0,              6.3239,           0.0026658,           0.0026658,            0.072766
                  25,            0.044456,            0.019366,                   0,              7.3411,            0.010457,                 0.2,           0.0026821,          0.00048935,             0.04117,             0.01877,                   0,              6.3239,           0.0027456,           0.0027456,            0.071646
                  26,            0.033063,            0.019849,                   0,              5.7598,            0.040899,                 0.4,            0.017401,           0.0017677,            0.041156,            0.018344,                   0,              6.3159,           0.0028224,           0.0028224,            0.070522
                  27,             0.03962,            0.021041,                   0,               7.331,            0.040899,                 0.4,            0.017401,           0.0017677,            0.041156,            0.018344,                   0,              6.3159,           0.0028962,           0.0028962,            0.069396
                  28,             0.03722,            0.019634,                   0,              6.7822,            0.045409,                 0.4,             0.01821,           0.0055021,            0.038316,            0.018487,                   0,              6.2938,           0.0029667,           0.0029667,            0.068267
                  29,            0.035344,            0.018152,                   0,              6.2179,            0.045409,                 0.4,             0.01821,           0.0055021,            0.038316,            0.018487,                   0,              6.2938,           0.0030341,           0.0030341,            0.067134
                  30,            0.040009,            0.019293,                   0,              7.2182,            0.024735,                 0.4,            0.011038,           0.0011385,            0.038196,            0.018193,                   0,              6.2739,           0.0030983,           0.0030983,            0.065998
                  31,            0.035658,            0.017715,                   0,              6.2182,            0.024735,                 0.4,            0.011038,           0.0011385,            0.038196,            0.018193,                   0,              6.2739,           0.0031591,           0.0031591,            0.064859
                  32,            0.038386,             0.01954,                   0,              6.7886,             0.10904,                 0.2,            0.029654,           0.0030378,            0.041269,            0.019384,                   0,              6.3214,           0.0032166,           0.0032166,            0.063717
                  33,            0.033961,            0.018323,                   0,              6.2417,             0.10904,                 0.2,            0.029654,           0.0030378,            0.041269,            0.019384,                   0,              6.3214,           0.0032707,           0.0032707,            0.062571
                  34,            0.028839,            0.018237,                   0,              5.2066,             0.16301,                 0.2,            0.037962,           0.0040068,            0.041752,              0.0176,                   0,              6.3498,           0.0033214,           0.0033214,            0.061421
                  35,            0.033745,            0.019908,                   0,              6.6678,             0.16301,                 0.2,            0.037962,           0.0040068,            0.041752,              0.0176,                   0,              6.3498,           0.0033687,           0.0033687,            0.060269
                  36,            0.026776,            0.017951,                   0,              5.1889,            0.010535,                 0.2,           0.0033881,          0.00054324,            0.034305,            0.016875,                   0,               6.396,           0.0034125,           0.0034125,            0.059112
                  37,            0.029438,            0.019216,                   0,              5.6639,            0.010535,                 0.2,           0.0033881,          0.00054324,            0.034305,            0.016875,                   0,               6.396,           0.0034528,           0.0034528,            0.057953
                  38,            0.046134,            0.019456,                   0,              8.2891,            0.010535,                 0.2,           0.0033881,          0.00054324,            0.034305,            0.016875,                   0,               6.396,           0.0034897,           0.0034897,             0.05679
                  39,             0.03526,            0.018375,                   0,              6.6642,           0.0074046,                 0.2,           0.0021735,          0.00030062,            0.037906,            0.016357,                   0,               6.397,            0.003523,            0.003523,            0.055623
